fileNumber,reportDate,crimeType,neighborhoodName,location,latitude,longitude
2018-01148,2018-02-23T10:02:00Z,Larceny from Residence,Cambridgeport,"100 MAGAZINE ST, Cambridge, MA",42.360252,-71.109618
2018-01157,2018-02-23T15:42:00Z,Accident,Agassiz,"0 OXFORD ST, Cambridge, MA",42.378512,-71.11632
2018-01188,2018-02-25T01:24:00Z,Forgery,West Cambridge,"1400 MASSACHUSETTS AVE, Cambridge, MA",42.373725,-71.119656
2018-01209,2018-02-26T13:58:00Z,Larceny (Misc),Agassiz,"0 OXFORD ST, Cambridge, MA",42.378512,-71.11632
2018-01218,2018-02-26T21:04:00Z,Threats,MIT,"600 MEMORIAL DR, Cambridge, MA",42.353949,-71.106619
2018-01219,2018-02-26T21:13:00Z,Simple Assault,North Cambridge,"0 WHITE ST, Cambridge, MA",42.388549,-71.118652
2018-01227,2018-02-27T12:21:00Z,Flim Flam,West Cambridge,"200 BRATTLE ST, Cambridge, MA",42.375997,-71.138844
2018-01236,2018-02-27T16:06:00Z,Simple Assault,North Cambridge,"0 CAMBRIDGEPARK DR, Cambridge, MA",42.394422,-71.141635
2018-01257,2018-02-28T09:56:00Z,Forgery,Mid-Cambridge,"700 MASSACHUSETTS AVE, Cambridge, MA",42.365753,-71.104773
2018-01261,2018-02-28T11:27:00Z,Suspicious Package,Mid-Cambridge,"700 Massachusetts Ave, Cambridge, MA",42.365753,-71.104773
2018-01006,2018-02-16T13:04:00Z,Weapon Violations,East Cambridge,"200 Bent St, Cambridge, MA",42.367081,-71.083584
2018-01007,2018-02-16T14:53:00Z,Larceny from MV,Cambridgeport,"500 MASSACHUSETTS AVE, Cambridge, MA",42.363967,-71.101705
2018-01038,2018-02-18T05:20:00Z,Missing Person,Strawberry Hill,"0 SULLIVAN RD, Cambridge, MA",42.375644,-71.154033
2018-01042,2018-02-18T10:55:00Z,Simple Assault,Cambridgeport,"0 CENTRAL SQ, Cambridge, MA",42.365029,-71.10456
2018-01071,2018-02-20T11:06:00Z,Larceny from Residence,North Cambridge,"400 RINDGE AVE, Cambridge, MA",42.393076,-71.13989
2018-01073,2018-02-20T13:13:00Z,Larceny from Residence,East Cambridge,"100 SPRING ST, Cambridge, MA",42.369151,-71.082714
2018-01099,2018-02-21T13:47:00Z,Threats,North Cambridge,"300 RINDGE AVE, Cambridge, MA",42.393485,-71.136239
2018-01121,2018-02-22T10:20:00Z,Forgery,East Cambridge,"200 GORE ST, Cambridge, MA",42.372624,-71.08593
2018-01123,2018-02-22T11:37:00Z,Housebreak,East Cambridge,"0 LAMBERT ST, Cambridge, MA",42.37225,-71.086691
2018-01127,2018-02-22T13:12:00Z,Shoplifting,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-01134,2018-02-22T18:55:00Z,Missing Person,North Cambridge,"400 RINDGE AVE, Cambridge, MA",42.393076,-71.13989
2018-01137,2018-02-22T21:44:00Z,Forgery,East Cambridge,"0 Irving St, Cambridge, MA",42.375339,-71.110823
2018-01149,2018-02-23T09:04:00Z,Larceny from Building,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-01158,2018-02-23T16:13:00Z,Shoplifting,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-01172,2018-02-24T07:02:00Z,Mal. Dest. Property,East Cambridge,"200 OTIS ST, Cambridge, MA",42.371158,-71.08742
2018-01176,2018-02-24T13:11:00Z,Larceny from Person,Cambridgeport,"500 MASSACHUSETTS AVE, Cambridge, MA",42.363967,-71.101705
2018-01178,2018-02-24T17:07:00Z,Suspicious Package,East Cambridge,"200 FIFTH ST, Cambridge, MA",42.366613,-71.084066
2018-01187,2018-02-25T00:56:00Z,Warrant Arrest,North Cambridge,"400 RINDGE AVE, Cambridge, MA",42.393076,-71.13989
2018-01201,2018-02-25T21:07:00Z,Larceny of Services,Highlands,"100 MOONEY ST, Cambridge, MA",42.395174,-71.154918
2018-01205,2018-02-26T11:27:00Z,Forgery,Mid-Cambridge,"800 MASSACHUSETTS AVE, Cambridge, MA",42.366825,-71.106454
2018-01206,2018-02-26T12:15:00Z,Larceny from Person,Cambridgeport,"500 MASSACHUSETTS AVE, Cambridge, MA",42.363967,-71.101705
2018-01208,2018-02-26T12:52:00Z,Housebreak,East Cambridge,"100 FIFTH ST, Cambridge, MA",42.369966,-71.083282
2018-01220,2018-02-26T22:53:00Z,Street Robbery,Cambridgeport,"GREEN ST & MAGAZINE ST, Cambridge, MA",54.316124,-130.313042
2018-01263,2018-02-28T10:52:00Z,Housebreak,Mid-Cambridge,"0 TROWBRIDGE ST, Cambridge, MA",42.370686,-71.112291
2018-01000,2018-02-15T23:38:00Z,Larceny from Building,Riverside,"900 MASSACHUSETTS AVE, Cambridge, MA",42.368014,-71.108641
2018-01002,2018-02-16T05:36:00Z,Accident,Cambridgeport,"ALBANY ST & MASSACHUSETTS AVE, Cambridge, MA",43.886319,-78.856548
2018-01008,2018-02-16T15:08:00Z,Shoplifting,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",42.367005,-71.076013
2018-01016,2018-02-16T19:22:00Z,Larceny from Person,Cambridgeport,"100 SIDNEY ST, Cambridge, MA",42.359872,-71.102648
2018-01018,2018-02-16T20:56:00Z,Auto Theft,East Cambridge,"0 WATER ST, Cambridge, MA",42.372632,-71.078123
2018-01019,2018-02-16T21:01:00Z,Shoplifting,East Cambridge,"100 Cambridgeside Pl, Cambridge, MA",42.367005,-71.076013
2018-01025,2018-02-17T13:12:00Z,Larceny from MV,Peabody,"MASSACHUSETTS AVE & UPLAND RD, Cambridge, MA",44.663074,-63.611624
2018-01035,2018-02-18T01:12:00Z,Missing Person,Agassiz,"0 SACRAMENTO ST, Cambridge, MA",42.382384,-71.119123
2018-01043,2018-02-18T10:46:00Z,Larceny from Person,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",42.367005,-71.076013
2018-01044,2018-02-18T11:45:00Z,Simple Assault,East Cambridge,"0 LAND BLVD, Cambridge, MA",42.368846,-71.073159
2018-01049,2018-02-18T16:30:00Z,Shoplifting,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",42.367005,-71.076013
2018-01855,2018-03-26T18:48:00Z,Drugs,Cambridgeport,"BROOKLINE ST & PUTNAM AVE, Cambridge, MA",42.501671,-83.17252
2018-01881,2018-03-27T15:44:00Z,Larceny from Building,East Cambridge,"100 CAMBRIDGE ST, Cambridge, MA",42.370218,-71.077846
2018-01901,2018-03-28T13:02:00Z,Hit and Run,Riverside,"ELIOT ST & JFK ST, Cambridge, MA",45.542783,-75.296407
2018-01904,2018-03-28T14:08:00Z,Warrant Arrest,East Cambridge,"100 CAMBRIDGE ST, Cambridge, MA",42.370218,-71.077846
2018-01910,2018-03-28T19:39:00Z,Harassment,Cambridgeport,"500 PUTNAM AVE, Cambridge, MA",42.358271,-71.109337
2018-01918,2018-03-29T10:04:00Z,Larceny from MV,West Cambridge,"200 COOLIDGE HILL, Cambridge, MA",42.372043,-71.137479
2018-01921,2018-03-29T11:40:00Z,Missing Person,Cambridgeport,"100 PEARL ST, Cambridge, MA",42.36227,-71.105042
2018-01926,2018-03-29T16:09:00Z,Simple Assault,Riverside,"1200 MASSACHUSETTS AVE, Cambridge, MA",42.371552,-71.115347
2018-01356,2018-03-04T12:26:00Z,Larceny from MV,Cambridgeport,"100 MAGAZINE ST, Cambridge, MA",42.360252,-71.109618
2018-01358,2018-03-04T14:41:00Z,Mal. Dest. Property,Cambridgeport,"200 ALLSTON ST, Cambridge, MA",42.359026,-71.109251
2018-01359,2018-03-04T15:46:00Z,Forgery,Cambridgeport,"0 CORPORAL MCTERNAN ST, Cambridge, MA",42.360552,-71.107471
2018-01364,2018-03-04T20:34:00Z,Larceny of Bicycle,Riverside,"0 Pleasant St, Cambridge, MA",42.365976,-71.105576
2018-01397,2018-03-06T11:27:00Z,Hit and Run,Mid-Cambridge,"400 BROADWAY, Cambridge, MA",42.37184,-71.10741
2018-01402,2018-03-06T14:07:00Z,Shoplifting,Riverside,"0 JFK ST, Cambridge, MA",42.373054,-71.119486
2018-01424,2018-03-07T10:41:00Z,Forgery,East Cambridge,"0 First St, Cambridge, MA",42.370232,-71.076821
2018-01437,2018-03-07T17:04:00Z,Hit and Run,West Cambridge,"0 HILLIARD ST, Cambridge, MA",42.374469,-71.12266
2018-01461,2018-03-08T16:05:00Z,Simple Assault,Peabody,"100 FOLLEN ST, Cambridge, MA",42.377956,-71.121178
2018-01464,2018-03-08T18:38:00Z,Admin Error,Mid-Cambridge,"400 BROADWAY, Cambridge, MA",42.37184,-71.10741
2018-01470,2018-03-09T09:03:00Z,Mal. Dest. Property,Riverside,"100 Mount Auburn St, Cambridge, MA",42.372623,-71.120847
2018-01479,2018-03-09T15:31:00Z,Commercial Break,Riverside,"0 JFK ST, Cambridge, MA",42.373054,-71.119486
2018-01492,2018-03-09T20:32:00Z,Housebreak,Cambridgeport,"0 DECATUR ST, Cambridge, MA",42.360595,-71.105056
2018-01519,2018-03-11T14:17:00Z,Shoplifting,Riverside,"0 JFK ST, Cambridge, MA",42.373054,-71.119486
2018-01532,2018-03-12T08:47:00Z,Accident,Agassiz,"KIRKLAND ST & OXFORD ST, Cambridge, MA",48.419343,-89.228123
2018-01565,2018-03-14T10:48:00Z,Housebreak,Cambridgeport,"200 ERIE ST, Cambridge, MA",42.360161,-71.108266
2018-01582,2018-03-14T18:50:00Z,Mal. Dest. Property,Area 4,"BISHOP ALLEN DR & SCHOOL ST, Cambridge, MA",42.364078,-71.099327
2018-01584,2018-03-14T19:23:00Z,Larceny from Residence,Cambridgeport,"200 ERIE ST, Cambridge, MA",42.360161,-71.108266
2018-01607,2018-03-15T16:43:00Z,Hit and Run,East Cambridge,"FIRST ST & HURLEY ST, Cambridge, MA",49.178614,-98.091604
2018-01616,2018-03-16T06:51:00Z,Phone Calls,Riverside,"1100 MASSACHUSETTS AVE, Cambridge, MA",42.370342,-71.113524
2018-01630,2018-03-16T17:21:00Z,Hit and Run,Peabody,"Massachusetts Ave & Garden St, Cambridge, MA",44.663074,-63.611624
2018-01651,2018-03-17T20:55:00Z,Larceny of Bicycle,Riverside,"0 Mount Auburn St, Cambridge, MA",42.36997,-71.113612
2018-01264,2018-02-28T12:44:00Z,Larceny from Building,West Cambridge,"0 ELIOT ST, Cambridge, MA",42.372362,-71.12154
2018-01273,2018-02-28T16:51:00Z,Drugs,Mid-Cambridge,"INMAN ST & MASSACHUSETTS AVE, Cambridge, MA",37.684753,-121.761515
2018-01291,2018-03-01T10:55:00Z,Larceny of Bicycle,West Cambridge,"0 JFK ST, Cambridge, MA",42.373054,-71.119486
2018-01303,2018-03-01T16:48:00Z,Warrant Arrest,West Cambridge,"ELIOT ST & JFK ST, Cambridge, MA",45.542783,-75.296407
2018-01341,2018-03-03T13:10:00Z,Simple Assault,Area 4,"200 COLUMBIA ST, Cambridge, MA",42.368077,-71.096992
2018-01353,2018-03-04T10:39:00Z,Threats,West Cambridge,"0 BENNETT ST, Cambridge, MA",42.372208,-71.122254
2018-01844,2018-03-26T11:58:00Z,Hit and Run,Cambridgeport,"0 CHALK ST, Cambridge, MA",42.361378,-71.109338
2018-01371,2018-03-05T12:02:00Z,Simple Assault,West Cambridge,"0 CHURCH ST, Cambridge, MA",42.374155,-71.119497
2018-01374,2018-03-05T14:34:00Z,Admin Error,West Cambridge,"BRATTLE ST & PALMER ST, Cambridge, MA",42.375298,-71.145481
2018-01375,2018-03-05T14:05:00Z,Admin Error,West Cambridge,"0 CHURCH ST, Cambridge, MA",42.374155,-71.119497
2018-01376,2018-03-05T15:12:00Z,Accident,Mid-Cambridge,"BROADWAY & PROSPECT ST, Cambridge, MA",38.611638,-78.794953
2018-01392,2018-03-06T09:26:00Z,Hit and Run,Area 4,"100 COLUMBIA ST, Cambridge, MA",42.365806,-71.098324
2018-01401,2018-03-06T12:29:00Z,Larceny of Services,North Cambridge,"2500 MASSACHUSETTS AVE, Cambridge, MA",42.398957,-71.132531
2018-01411,2018-03-06T20:19:00Z,Forgery,West Cambridge,"1400 Massachusetts Ave, Cambridge, MA",42.373725,-71.119656
2018-01413,2018-03-06T20:18:00Z,Shoplifting,North Cambridge,"0 WHITE ST, Cambridge, MA",42.388549,-71.118652
2018-01435,2018-03-07T17:04:00Z,Larceny from MV,North Cambridge,"0 ORCHARD ST, Cambridge, MA",42.39014,-71.119301
2018-01436,2018-03-07T17:31:00Z,Shoplifting,North Cambridge,"0 WHITE ST, Cambridge, MA",42.388549,-71.118652
2018-01438,2018-03-07T19:22:00Z,Hit and Run,North Cambridge,"MASSACHUSETTS AVE & MEACHAM RD, Cambridge, MA",44.663074,-63.611624
2018-01455,2018-03-08T13:17:00Z,Harassment,Cambridgeport,"100 PLEASANT ST, Cambridge, MA",42.361585,-71.110795
2018-01463,2018-03-08T17:01:00Z,Accident,Peabody,"200 Walden St, Cambridge, MA",42.386646,-71.129129
2018-01471,2018-03-09T10:04:00Z,Larceny (Misc),Mid-Cambridge,"MASSACHUSETTS AVE & PROSPECT ST, Cambridge, MA",44.663074,-63.611624
2018-01473,2018-03-09T10:46:00Z,Larceny from Person,North Cambridge,"0 WHITE ST, Cambridge, MA",42.388549,-71.118652
2018-01480,2018-03-09T16:09:00Z,Simple Assault,West Cambridge,"0 BRATTLE ST, Cambridge, MA",42.373206,-71.119651
2018-01499,2018-03-10T08:34:00Z,Larceny from Building,West Cambridge,"1400 Massachusetts Ave, Cambridge, MA",42.373725,-71.119656
2018-01506,2018-03-10T17:37:00Z,Larceny (Misc),North Cambridge,"0 WHITE ST, Cambridge, MA",42.388549,-71.118652
2018-01541,2018-03-12T21:52:00Z,Shoplifting,Strawberry Hill,"700 Mount Auburn St, Cambridge, MA",42.372799,-71.155503
2018-01547,2018-03-13T12:04:00Z,Forgery,West Cambridge,"1400 Massachusetts Ave, Cambridge, MA",42.373725,-71.119656
2018-01558,2018-03-14T00:03:00Z,Simple Assault,Mid-Cambridge,"0 TEMPLE ST, Cambridge, MA",42.366219,-71.104109
2018-01559,2018-03-14T02:33:00Z,Shoplifting,North Cambridge,"0 WHITE ST, Cambridge, MA",42.388549,-71.118652
2018-01562,2018-03-14T10:12:00Z,Taxi Violation,MIT,"600 MEMORIAL DR, Cambridge, MA",42.353949,-71.106619
2018-01568,2018-03-14T13:16:00Z,Threats,West Cambridge,"100 CHURCH ST, Cambridge, MA",42.373937,-71.120969
2018-01571,2018-03-14T14:11:00Z,Hit and Run,North Cambridge,"2000 MASSACHUSETTS AVE, Cambridge, MA",42.390255,-71.12149
2018-01572,2018-03-14T15:12:00Z,Hit and Run,Strawberry Hill,"0 FOUNTAIN TER, Cambridge, MA",42.378827,-71.150942
2018-01574,2018-03-14T14:58:00Z,Threats,West Cambridge,"1400 MASSACHUSETTS AVE, Cambridge, MA",42.373725,-71.119656
2018-01266,2018-02-28T13:42:00Z,Mal. Dest. Property,West Cambridge,"0 GIBSON ST, Cambridge, MA",42.375129,-71.132757
2018-01269,2018-02-28T14:24:00Z,Warrant Arrest,Cambridgeport,"BROOKLINE ST & MASSACHUSETTS AVE, Cambridge, MA",42.501671,-83.17252
2018-01287,2018-03-01T03:26:00Z,Larceny from MV,West Cambridge,"300 Mount Auburn St, Cambridge, MA",42.373903,-71.134238
2018-01288,2018-03-01T04:56:00Z,Simple Assault,Cambridgeport,"500 MASSACHUSETTS AVE, Cambridge, MA",42.363967,-71.101705
2018-01290,2018-03-01T09:05:00Z,Hit and Run,West Cambridge,"SAVILLE ST & WALDEN ST, Cambridge, MA",42.47112,-71.006046
2018-01297,2018-03-01T15:11:00Z,Larceny of Plate,North Cambridge,"400 RINDGE AVE, Cambridge, MA",42.393076,-71.13989
2018-01306,2018-03-01T17:10:00Z,Warrant Arrest,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-01352,2018-03-04T10:35:00Z,Hit and Run,Highlands,"200 Alewife Brook Pky, Cambridge, MA",42.389009,-71.141623
2018-01822,2018-03-25T12:30:00Z,Housebreak,Peabody,"0 CONCORD AVE, Cambridge, MA",42.377648,-71.122836
2018-01828,2018-03-25T15:53:00Z,Housebreak,Peabody,"0 CONCORD AVE, Cambridge, MA",42.377648,-71.122836
2018-01023,2018-02-17T11:42:00Z,Forgery,Inman/Harrington,"100 BERKSHIRE ST, Cambridge, MA",42.370915,-71.090307
2018-01027,2018-02-17T17:23:00Z,Shoplifting,Highlands,"200 Alewife Brook Pky, Cambridge, MA",42.389009,-71.141623
2018-01039,2018-02-18T07:30:00Z,Hit and Run,Mid-Cambridge,"1500 CAMBRIDGE ST, Cambridge, MA",42.374023,-71.104673
2018-01081,2018-02-20T17:12:00Z,Mal. Dest. Property,Riverside,"200 WESTERN AVE, Cambridge, MA",42.364577,-71.110325
2018-01583,2018-03-14T19:14:00Z,Accident,West Cambridge,"BENNETT ST & UNIVERSITY RD, Cambridge, MA",45.127679,-76.129817
2018-01590,2018-03-15T07:58:00Z,Larceny from Building,North Cambridge,"0 CAMBRIDGEPARK DR, Cambridge, MA",42.394422,-71.141635
2018-01596,2018-03-15T11:53:00Z,Threats,North Cambridge,"2500 Massachusetts Ave, Cambridge, MA",42.398957,-71.132531
2018-01601,2018-03-15T13:11:00Z,Missing Person,North Cambridge,"0 WHITE ST, Cambridge, MA",42.388549,-71.118652
2018-01602,2018-03-15T14:01:00Z,Accident,Mid-Cambridge,"BROADWAY & PROSPECT ST, Cambridge, MA",38.611638,-78.794953
2018-01610,2018-03-15T20:23:00Z,Shoplifting,West Cambridge,"1400 MASSACHUSETTS AVE, Cambridge, MA",42.373725,-71.119656
2018-01617,2018-03-16T09:09:00Z,Mal. Dest. Property,Area 4,"0 COLUMBIA TER, Cambridge, MA",42.364725,-71.099428
2018-01632,2018-03-16T17:11:00Z,Aggravated Assault,West Cambridge,"0 JFK ST, Cambridge, MA",42.373054,-71.119486
2018-01645,2018-03-17T16:13:00Z,Larceny from MV,North Cambridge,"0 EDMUNDS ST, Cambridge, MA",42.398652,-71.132227
2018-01856,2018-03-26T20:04:00Z,Accident,West Cambridge,"BENNETT ST & UNIVERSITY RD, Cambridge, MA",45.127679,-76.129817
2018-01861,2018-03-26T22:24:00Z,Accident,Mid-Cambridge,"MASSACHUSETTS AVE & PROSPECT ST, Cambridge, MA",44.663074,-63.611624
2018-01874,2018-03-27T12:37:00Z,Flim Flam,North Cambridge,"0 WHITTEMORE AVE, Cambridge, MA",42.398336,-71.135564
2018-01876,2018-03-27T13:29:00Z,Forgery,West Cambridge,"1400 Massachusetts Ave, Cambridge, MA",42.373725,-71.119656
2018-01887,2018-03-27T19:21:00Z,Suspicious Package,West Cambridge,"0 PALMER ST, Cambridge, MA",42.373831,-71.120246
2018-01900,2018-03-28T11:26:00Z,Mal. Dest. Property,Mid-Cambridge,"0 ST PAUL ST, Cambridge, MA",42.365248,-71.105015
2018-01902,2018-03-28T12:34:00Z,Larceny from Building,North Cambridge,"0 BEECH ST, Cambridge, MA",42.39049,-71.120341
2018-01914,2018-03-28T23:34:00Z,Simple Assault,West Cambridge,"100 CHURCH ST, Cambridge, MA",42.373937,-71.120969
2018-01925,2018-03-29T15:38:00Z,Hit and Run,North Cambridge,"0 WHITE ST, Cambridge, MA",42.388549,-71.118652
2018-01928,2018-03-29T17:06:00Z,Larceny from Building,West Cambridge,"0 ELIOT ST, Cambridge, MA",42.372362,-71.12154
2018-01933,2018-03-29T21:12:00Z,Larceny of Services,West Cambridge,"0 ELIOT ST, Cambridge, MA",42.372362,-71.12154
2018-01937,2018-03-29T23:22:00Z,Missing Person,North Cambridge,"2600 MASSACHUSETTS AVE, Cambridge, MA",42.400477,-71.135575
2018-01955,2018-03-30T12:06:00Z,Harassment,Area 4,"100 Elm St, Cambridge, MA",42.38948,-71.117125
2018-01959,2018-03-30T13:32:00Z,Larceny from Building,MIT,"600 MEMORIAL DR, Cambridge, MA",42.353949,-71.106619
2018-01961,2018-03-30T15:22:00Z,Larceny from Residence,Mid-Cambridge,"0 TEMPLE ST, Cambridge, MA",42.366219,-71.104109
2018-01964,2018-03-30T16:17:00Z,Larceny from Building,Cambridgeport,"0 PLEASANT ST, Cambridge, MA",42.365976,-71.105576
2018-01969,2018-03-30T21:11:00Z,Violation of H.O.,Cambridgeport,"100 Pleasant St, Cambridge, MA",42.361585,-71.110795
2018-01980,2018-03-31T17:11:00Z,Flim Flam,Strawberry Hill,"0 PARK AVE, Cambridge, MA",42.37841,-71.14839
2018-01989,2018-04-01T02:34:00Z,Hit and Run,Mid-Cambridge,"800 MASSACHUSETTS AVE, Cambridge, MA",42.366825,-71.106454
2018-01994,2018-04-01T14:31:00Z,Hit and Run,Area 4,"ELM ST & MARKET ST, Cambridge, MA",43.076308,-82.146513
2018-02000,2018-04-02T03:39:00Z,Arson,Area 4,"100 ESSEX ST, Cambridge, MA",42.367556,-71.100842
2018-02035,2018-04-03T11:55:00Z,Shoplifting,Strawberry Hill,"700 Mount Auburn St, Cambridge, MA",42.372799,-71.155503
2018-02055,2018-04-04T08:33:00Z,Hit and Run,North Cambridge,"0 BEECH ST, Cambridge, MA",42.39049,-71.120341
2018-02056,2018-04-04T09:04:00Z,Threats,North Cambridge,"0 CAMERON AVE, Cambridge, MA",42.397421,-71.129941
